10:55:35.276 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
10:55:35.286 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
10:56:29.837 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Integrate source: java:appium-intellij:v1.1.2
10:56:29.837 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
10:56:29.893 [ApplicationImpl pooled thread 53] INFO  c.b.l.BrowserStackRunExtension - maven
10:56:29.893 [ApplicationImpl pooled thread 53] INFO  com.browserstack.utils.Helpers - null
10:57:08.075 [java] INFO  c.b.launchers.LaunchMavenCommand - Completed maven archetype command
11:02:28.660 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:02:28.660 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:19:09.786 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:19:09.787 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:37:45.897 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:37:45.897 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:38:43.906 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:38:43.906 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:49:52.406 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:49:52.406 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:52:44.178 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:52:44.179 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:57:12.077 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:57:12.077 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
12:04:11.598 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:04:11.598 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
12:05:04.910 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:05:04.910 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
12:05:41.355 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:05:41.355 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
12:09:38.023 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:09:38.023 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:01:18.892 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:01:18.893 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:03:13.411 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:03:13.412 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:14:47.385 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:14:47.385 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:20:40.655 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:20:40.655 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:30:58.590 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:30:58.590 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:34:15.010 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:34:15.010 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:39:35.112 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:39:35.112 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:45:00.379 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:45:00.379 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:49:05.654 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:49:05.654 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:57:42.936 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:57:42.937 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:02:49.542 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:02:49.542 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:11:32.247 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:11:32.247 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
